ID_Objednavky,ID_Zakaznika,Datum,Cislo_Objednavky,Cena,Meno_Psa,Rasa,Receptura,Davka_Gramy
233631,1,2025-01-21 15:20:43,25349346,1128.00,test,Airedale teriér,,144
233626,0,2024-12-20 16:52:18,24722308,1723.00,Čunča,Akita-Inu,,298
233622,9300,2024-12-18 12:09:05,24427376,1309.00,Puppy,Yorkšírský teriér,,45
233619,9104,2024-12-18 11:14:19,24471898,1506.00,Maggie,Americký stafordširský teriér,Rýže,202
233617,3990,2024-12-18 09:22:13,24658751,1327.00,ROKKY,Střední plemeno,,147
233615,1332,2024-12-18 08:27:20,24058514,1790.00,Dakota Ebbony,Labradoodle,,206
233612,9676,2024-12-18 08:20:39,24399815,726.00,Nugette,Yorkšírský teriér,,41
233595,0,2024-12-17 23:59:26,24089179,,Dáša,Trpasličí plemeno,,40
233595,0,2024-12-17 23:59:26,24089179,,Lea,Obří plemeno,Brambory,337
233595,0,2024-12-17 23:59:26,24089179,,Bouře,Dalmatin,,243
233589,9674,2024-12-17 22:57:21,24642177,855.00,Fany,Pražský krysařík,Hovězí,41
233586,3766,2024-12-17 22:41:11,24754220,2054.00,Avi,Pudl střední,,124
233583,1095,2024-12-17 22:33:11,24302013,1007.00,Benjie,Jack Russel teriér,,76
233085,9651,2024-12-17 21:10:37,24344566,938.00,Ponky,Malé plemeno,Rýže,97
233576,7912,2024-12-17 20:40:26,24796208,2061.00,AURORA,Německý ovčák,,267
233573,9512,2024-12-17 20:03:19,24988112,1126.00,Sam,Jack Russel teriér,,99
233570,4722,2024-12-17 18:50:37,24980455,1635.00,Sindy,Jack Russel teriér,Jehněčí,66
233566,6618,2024-12-17 17:06:53,24671541,1149.00,Ramon,Jezevčík standard hladkosrstý,,107
233563,0,2024-12-17 17:04:21,24446036,,Fredie,Border kolie,,186
233559,0,2024-12-17 16:24:23,24977410,,Adéla,Trpasličí plemeno,,366
233553,0,2024-12-17 15:39:43,24139725,,Aa,Airedale teriér,,244
233526,7179,2024-12-17 09:50:00,24787499,790.00,Eldik,Yorkšírský teriér,,40
233523,8237,2024-12-17 09:22:38,24841390,2275.00,Diego,Německý špic vlčí,Kukuřice,167
233521,0,2024-12-17 09:16:28,24490949,,Daisy,Německý špic trpasličí,,29
233516,5585,2024-12-17 08:48:40,24035696,1949.00,Grace,Sheltie,,85
233516,5585,2024-12-17 08:48:40,24035696,1949.00,Kerča,Sheltie,,62
233514,9395,2024-12-17 08:46:54,24102811,1024.00,Annie,Jezevčík standard drsnosrstý,Brambory,86
233512,9362,2024-12-17 08:23:55,24865392,912.00,Molly,Pražský krysařík,,56
233508,0,2024-12-17 07:37:08,24431310,,Skye,Jezevčík standard hladkosrstý,,84
233504,9673,2024-12-17 07:30:29,24019635,1728.00,Dakota,Labradoodle,,200
233500,9672,2024-12-17 06:34:53,24367004,1116.00,Jack,Jack Russel teriér,Rýže,83
233496,0,2024-12-17 00:55:17,24736053,,Babetka,Pražský krysařík,,29
233493,9150,2024-12-17 00:49:53,24452817,1178.00,Babetka,Pražský krysařík,,29
233478,9671,2024-12-16 23:47:28,24244566,1238.00,Kiki,Mops,,105
233484,0,2024-12-16 23:30:21,24227738,,Meggie,Slovenský kopov,,150
233470,0,2024-12-16 20:59:13,24697322,,Enný,Bernský salašnický pes,,293
233464,6430,2024-12-16 20:47:39,24659932,1866.00,Eywa,Ruskoevropská lajka,,228
233462,6052,2024-12-16 20:43:25,24693022,5489.00,Barbar,Německý ohař krátkosrstý,Hrách,433
233456,9669,2024-12-16 18:44:15,24187760,846.00,Angie,Yorkšírský teriér,,39
233453,9668,2024-12-16 18:28:55,24683973,1085.00,Timmy,Německý špic malý,,93
233446,3469,2024-12-16 18:13:39,24847081,2446.00,Berta,Maďarský ohař krátkosrstý,,206
233440,6904,2024-12-16 17:18:04,24158026,1203.00,Megginka,Malé plemeno,Losos,78
233438,5669,2024-12-16 17:16:26,24073398,1100.00,Kenny,Yorkšírský teriér,,44
233431,0,2024-12-16 16:42:57,24081292,935.00,Oliver,Brabantík,,61
233429,2305,2024-12-16 15:59:14,24980194,1704.00,Falco,Labradorský retriever,,292
233422,7250,2024-12-16 15:01:58,24954075,1858.00,Maxim,Mops,Rýže,112
233415,9667,2024-12-16 14:53:52,24156249,834.00,Mailo,Malé plemeno,,61
233403,1555,2024-12-16 13:28:03,24742266,1536.00,Václav,Australský honácký pes,,202
233401,6309,2024-12-16 12:32:00,24295548,1451.00,Loki,Střední plemeno,,187
233398,9666,2024-12-16 12:23:00,24237563,942.00,Ajšinka,Maltézský psík,Kuřecí,63
233394,0,2024-12-16 12:04:36,24997389,,g,Malé plemeno,,177
233390,9665,2024-12-16 11:50:45,24345381,1179.00,Molinka,Čivava,,64
233383,3471,2024-12-16 09:47:04,24010041,2786.00,Broneček,Border kolie,,196
233380,3591,2024-12-16 09:44:48,24378886,839.00,Lucián,Německý špic trpasličí,,37
233377,9664,2024-12-16 09:42:37,24060666,1230.00,Fliček,Střední plemeno,Vepřové,139
233373,8570,2024-12-16 09:07:39,24716194,1134.00,Foxy,Welsh Corgi Pembroke,,130
233371,2555,2024-12-16 08:57:12,24298940,2162.00,Delfino,Australský ovčák,Rýže,237
233367,9110,2024-12-16 08:37:08,24920310,1635.00,Egon,Bretaňský ohař dlouhosrstý,,201
233362,1875,2024-12-16 08:28:41,24868227,5794.00,Amon,Whippet,,192
233362,1875,2024-12-16 08:28:41,24868227,5794.00,Marty,Whippet,Rýže,161
233362,1875,2024-12-16 08:28:41,24868227,5794.00,Rio,Whippet,,159
233359,8998,2024-12-16 07:59:42,24095318,2339.00,Ardy,Sheltie,,344
233354,0,2024-12-16 07:03:56,24461523,-100.00,Loki,Americký stafordširský teriér,,145
233351,9663,2024-12-16 06:59:12,24153275,1896.00,Barnie,Stafordšírský bullteriér,,150
233347,6094,2024-12-16 06:46:08,24288082,1447.00,Charlie,Jezevčík standard hladkosrstý,,105
233345,3397,2024-12-16 06:43:45,24888741,2689.00,Ela,Hovawart,Brambory,301
233337,9186,2024-12-16 04:52:32,24972520,1358.00,Kora,Samojed,,249
233325,3350,2024-12-15 22:19:33,24611659,4968.00,Čenda,Zlatý retriever,,255
233325,3350,2024-12-15 22:19:33,24611659,4968.00,Stela,Střední plemeno,,222
233323,9662,2024-12-15 21:41:19,24383025,1343.00,Jack,Střední plemeno,,129
233319,4961,2024-12-15 20:45:41,24025941,1715.00,Shadow,Americký stafordširský teriér,,211
233314,8066,2024-12-15 18:58:57,24231402,2134.00,Engie,Bílý švýcarský ovčák,,269
233308,9096,2024-12-15 18:36:10,24362241,4567.00,Issy,Německý ovčák,,402
233308,9096,2024-12-15 18:36:10,24362241,4567.00,Eby,Německý ovčák,,240
233304,0,2024-12-15 18:14:33,24970188,-100.00,Indy,Bostonský teriér,Kachní,90
233297,8178,2024-12-15 18:09:46,24088142,748.00,Alutka,Pudl toy,,51
233293,6420,2024-12-15 17:44:09,24757371,1135.00,Čert,Anglický kokršpaněl,,130
233288,3273,2024-12-15 16:23:20,24405667,1135.00,Denny,Havanský psík,,68
233283,0,2024-12-15 15:35:56,24891039,,Gery,Appenzellský salašnický pes,,287
233277,0,2024-12-15 14:48:00,24663374,,Keeny (jako ty boty) :),Belgický ovčák - Malinois,Kachní,385
233276,6438,2024-12-15 14:40:17,24201749,2147.00,Tessi,Yorkšírský teriér,,99
233267,9660,2024-12-15 13:36:00,24466866,1778.00,Borůvka,Americký stafordširský teriér,Rýže,248
233264,0,2024-12-15 13:30:25,24084087,-100.00,Yara,Boloňský psík,,58
233260,8038,2024-12-15 12:56:44,24656333,1005.00,Merlin,Bišonek,,73
233250,3047,2024-12-15 12:38:30,24457365,977.00,Lilly,Čivava,,33
233252,2229,2024-12-15 12:36:31,24865772,3245.00,Debbie,Americký stafordširský teriér,,237
233247,9659,2024-12-15 11:43:53,24553176,816.00,Jackie,Yorkšírský teriér,Kuřecí,51
233237,9658,2024-12-15 11:09:22,24602895,823.00,Pepinka,Yorkšírský teriér,,58
233227,7346,2024-12-15 09:54:12,24483273,6305.00,Lira,Německý ovčák,,260
233227,7346,2024-12-15 09:54:12,24483273,6305.00,Iza,Německý ovčák,,254
233224,1467,2024-12-15 09:40:37,24592563,1489.00,Bětuška,Irský setr,,224
233218,3333,2024-12-15 08:53:22,24728617,1353.00,Boris,Střední plemeno,Hovězí,197
233214,9657,2024-12-15 07:53:50,24585000,2585.00,QVETIN,Německý boxer,,298
233212,0,2024-12-15 07:47:58,24231858,,Quentin,Německý boxer,,292
233194,0,2024-12-15 05:59:45,24320108,,Elinka,Trpasličí plemeno,,43
233186,6033,2024-12-14 23:30:26,24977292,2296.00,Ellie,Zlatý retriever,,253
233181,0,2024-12-14 23:05:15,24895235,3706.00,Naboo,Tosa-Inu,,522
233179,9279,2024-12-14 22:46:12,24767554,671.00,Sendy,Maltézský psík,,42
233170,7306,2024-12-14 19:59:01,24394368,993.00,Otík,Italský chrtík,,78
233167,5732,2024-12-14 19:53:42,24256257,1190.00,Alfa,Malý münsterlandský ohař,,225
233158,9656,2024-12-14 19:15:26,24554928,1577.00,Jeff,Labradorský retriever,,338
233151,6376,2024-12-14 18:19:26,24583478,821.00,Samantha,Čivava,,29
233141,9655,2024-12-14 17:32:15,24526030,987.00,Fido,Malé plemeno,,73
233135,0,2024-12-14 16:02:31,24176210,-200.00,Sendy,Maltézský psík,Zvěřina,44
233129,0,2024-12-14 14:13:12,24738598,,Boni,West Highland White Terrier,Kukuřice,72
233123,9040,2024-12-14 14:12:09,24336707,2478.00,Gill,Stafordšírský bullteriér,,160
233109,9654,2024-12-14 12:27:52,24200946,1797.00,Uršula,Střední plemeno,,172
233101,1754,2024-12-14 11:04:15,24792809,2200.00,Dolphie,Portugalský vodní pes,,186
233357,1754,2024-12-14 11:04:15,24443946,2200.00,Dolphie,Portugalský vodní pes,,186
233094,9653,2024-12-14 10:37:34,24872240,618.00,Myška,Trpasličí plemeno,,49
233091,9652,2024-12-14 10:29:28,24040124,1251.00,Betynka,King Charles španěl,Brambory,97
233078,1418,2024-12-14 09:09:07,24607368,1391.00,Roxy,Střední plemeno,,152
233069,9650,2024-12-14 08:39:54,24032204,1098.00,Enžina,Jezevčík standard hladkosrstý,,92
233065,0,2024-12-14 08:24:41,24864354,-100.00,Aja,Yorkšírský teriér,,50
233059,9649,2024-12-14 08:08:54,24072416,1112.00,Rozárka,Malé plemeno,,83
233028,1525,2024-12-14 07:53:15,24391412,745.00,Mia,Čivava,,50
233046,0,2024-12-14 07:47:36,24473180,-100.00,Aylinka,Yorkšírský teriér,Rýže,34
233039,0,2024-12-14 07:31:47,24328011,-100.00,Filip,Střední plemeno,,176
233037,0,2024-12-14 07:31:04,24070864,,Brita,Německý ovčák,,323
233012,9648,2024-12-14 07:04:50,24507550,969.00,Charlie,Kavalír King Charles španěl,,106
233008,9646,2024-12-14 07:03:24,24531144,1022.00,AKI,Shiba-Inu,Hovězí,115
233006,9647,2024-12-14 07:03:10,24576824,834.00,DENY,Yorkšírský teriér,,36
232999,0,2024-12-14 07:01:09,24317953,-100.00,Maggie,Border kolie,,211
232995,9645,2024-12-14 06:59:53,24741519,692.00,Kapitan,Čivava,,51
232987,0,2024-12-14 06:56:41,24373393,-100.00,Max,Čivava,Brambory,31
232963,0,2024-12-14 06:49:12,24237040,,Jasmínka,Boloňský psík,,47
232942,9644,2024-12-14 06:46:54,24987067,858.00,Oreo,Čivava,Jehněčí,65
232905,3325,2024-12-13 21:53:47,24269428,1205.00,Max,Jack Russel teriér,,108
232897,9643,2024-12-13 20:49:22,24018685,1676.00,Dusty,Velké plemeno,Zvěřina,251
232890,9642,2024-12-13 20:34:58,24776118,755.00,Zolo,Biewer teriér,Jehněčí,47
232888,0,2024-12-13 20:34:42,24232093,-100.00,"Ediček,Toníček,Oliverek",Yorkšírský teriér,,61
232882,9377,2024-12-13 20:16:52,24406802,1266.00,Brixi,Jezevčík standard drsnosrstý,,126
233307,9377,2024-12-13 20:16:52,24683314,1266.00,Brixi,Jezevčík standard drsnosrstý,,126
232876,0,2024-12-13 19:47:10,24773797,,Meggi,Border kolie,,211
232870,9641,2024-12-13 19:34:35,24168275,987.00,Muffin,Jack Russel teriér,,91
232860,8886,2024-12-13 18:44:05,24171847,2017.00,Altik,Zlatý retriever,,261
232855,9640,2024-12-13 18:36:10,24509962,727.00,Lilly,Trpasličí plemeno,Jehněčí,46
232847,5631,2024-12-13 18:08:43,24606903,2753.00,Cookie,Francouzský buldoček,,174
232842,9639,2024-12-13 17:57:25,24636578,1230.00,Lauru,Francouzský buldoček,,155
232805,9637,2024-12-13 17:25:23,24155401,1110.00,ben,King Charles španěl,,89
232770,0,2024-12-13 17:19:23,24945619,0.00,Malvína,Yorkšírský teriér,Rýže,47
232790,9638,2024-12-13 17:08:29,24498351,775.00,Amálka,Biewer teriér,Hovězí,58
232780,9636,2024-12-13 16:58:43,24617942,1265.00,Bentley,Francouzský buldoček,Kachní,151
232775,0,2024-12-13 16:56:01,24725249,,Bak,Německý ovčák,,318
232773,0,2024-12-13 16:55:53,24757225,,TRACY,Stafordšírský bullteriér,Kukuřice,156
232765,0,2024-12-13 16:53:30,24375789,-100.00,Corča,Hovawart,,287
232757,0,2024-12-13 16:51:17,24860293,-100.00,Jessi,Yorkšírský teriér,,24
232749,9633,2024-12-13 16:49:27,24876726,1021.00,Teddík,Německý špic vlčí,Kachní,77
232746,9634,2024-12-13 16:49:08,24086856,1531.00,Ari,Border kolie,,209
232740,9632,2024-12-13 16:48:22,24982839,2173.00,Bonnie,Zlatý retriever,Losos,192
232686,0,2024-12-13 16:42:56,24218490,-100.00,Blek,Border teriér,,106
232682,0,2024-12-13 16:42:41,24482061,,Ben,Maltézský psík,,79
232608,3803,2024-12-13 15:03:33,24953572,3406.00,F+CH+B+O,Malé plemeno,,65
232608,3803,2024-12-13 15:03:33,24953572,3406.00,Ben,Bílý švýcarský ovčák,,348
232604,7916,2024-12-13 14:32:28,24805159,1546.00,Denny,Border kolie,,212
232596,8793,2024-12-13 13:32:40,24091369,2302.00,BART,Labradorský retriever,Brambory,336
232593,4633,2024-12-13 11:57:22,24185046,2658.00,Blesk,Německá doga,,410
232589,9630,2024-12-13 11:35:14,24080385,674.00,Moonie,Čivava,,30
232583,0,2024-12-13 10:57:25,24753822,-100.00,Ajsha,Malé plemeno,,90
232578,5538,2024-12-13 10:47:53,24626834,1539.00,Meggie,Jezevčík standard hladkosrstý,,79
232575,0,2024-12-13 09:21:42,24273470,,Bert,Malé plemeno,,101
232571,4460,2024-12-13 09:10:44,24817110,1047.00,Árčínek,Yorkšírský teriér,,38
232568,0,2024-12-13 09:04:48,24831031,-100.00,Árčínek,Yorkšírský teriér,,38
232564,5720,2024-12-13 08:41:34,24881606,2560.00,Abbynka,Whippet,Kuřecí,141
